0c56aee4-7e22-3e85-8e83-34829f3e8304,emission,air,"1,1,1-Trichloroethane",,kg,,,,,0.00000001,,,,,,,,,,,,,,,,,,,,0.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d517e6-4c5d-3002-8a0d-54434c5a3bae,emission,air,"1,2-Dichloroethane",,kg,,,,,0.00000002,,,,,,,,,,,,,,,,,,,,0.00000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457411b2-4dac-3eb2-965d-97b60660afa2,emission,air,"1,3-Butadiene",,kg,,,,,,,,,6.4984E-07,,,,,,,,,,,,5.8565E-07,,,,,,,,,,,,,,,,,,,,,7.0257E-09,,,,,,,,,,,,,,,,,,,,,,,,,,
1f799425-898b-34ee-9bff-250472b98b2e,emission,water,"1,3-Butadiene",,kg,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad64464c-1ff3-36e2-b7cd-8e404a62f7f2,emission,air,1-Butene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,
f5a30284-67a4-3a99-83ee-b7a486a2d196,emission,air,1-Hexene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,
47c8b76f-f52e-3f52-bccf-19eb92a9fd54,emission,water,1-Methylfluorene,,kg,,,,,,4.05E-10,5.182E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837fe205-9c25-3550-84bc-3f5285f9a25d,emission,air,1-Octene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,
ceb19cad-78ed-3635-902c-d7ac03e5b830,emission,air,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,kg,,,,,,,,1.662E-12,,,,,1.7365E-13,5.5279E-13,,,,4.7183E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7914E-12,,,,,,,,,,,,,1.50298E-08
c979ddf8-5576-36eb-bc76-040e01f99cc6,emission,water,"2,4-Dimethylphenol",,kg,,,,,,9.96E-08,6.203E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fdbc046-29ad-3377-a9c1-a45031e0cd53,emission,air,"2,4-Dinitrotoluene",,kg,,,,,1.4E-10,,,,,,,,,,,,,,,,,,,,1.4E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc661fdc-7c3a-3ce3-81dd-7c3ac1f859a8,air,stratosphere,2-Chloroacetophenone,,kg,,,,,3.5E-09,,,,,,,,,,,,,,,,,,,,3.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7cebd38-4cdb-39ba-aa58-b9970b32743c,emission,water,2-Hexanone,,kg,,,,,,2.32E-08,1.446E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92c83b8e-2ed2-31af-a119-b29023aa3798,emission,air,2-Methylbutane,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,
8ec9de49-e009-3d2f-bc58-502fb0da5a3f,emission,water,2-Methylnaphthalene,,kg,,,,,,5.63E-08,3.308E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131a370-a6cf-3a72-8756-6aa30666e3f7,emission,air,2-Methylpentane,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,
e938bd59-d414-3da4-b524-a13c18a50706,emission,water,3-Methylcholanthrene,,kg,,,,,,,,,,,,,,,,,,,0.000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647cac25-44c0-35e5-88c8-8935f2660071,emission,air,5-Methylchrysene,,kg,,,,,1.1E-11,,,,,,,,4.8604E-12,,8.6026E-12,,,,,,,,,,1.1E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1786d5d-c7f9-3cb2-9879-cf0325b72658,emission,water,"7,12-Dimethylbenz[a]anthracene",,kg,,,,,,,,,,,,,,,,,,,0.00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,emission,air,Acenaphthene,,kg,,,,,2.55E-10,,,,,,,,1.1267E-10,,1.9942E-10,,,,,,,,,,2.55E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34b07e52-3833-3665-aeec-01aed3f78362,emission,air,Acenaphthylene,,kg,,,,,1.25E-10,,,,,,,,5.5232E-11,,9.7757E-11,,,,,,,,,,1.25E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09dc3fe9-7e57-321f-9e04-34375bf2a0b7,emission,air,Acetaldehyde,,kg,,,,,0.000000285,,,,0.000012747,,,,,,,,,,,,0.000011488,,,,0.000000285,,,,,,,,,,,,,,,,,6.5355E-07,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000747
031590c9-2a66-3ecc-8f20-613e5fe40c1a,emission,water,Acetone,,kg,,,,,,3.55E-08,4.553E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E-11,,,,,,,,,,,,,,
8384736f-93e4-3edc-af93-47bdc7ef9fc7,emission,air,Acetophenone,,kg,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba9cee15-a144-3c38-9a3b-36931d4e64e9,emission,air,Acrolein,,kg,,,,,7.4696E-08,,,,1.5373E-06,,,,6.4069E-08,,1.134E-07,,,,,,1.3855E-06,,,,7.4696E-08,,,,,,,,,,,,,,,,,1.0457E-07,,,,,,,,,,,,,,,,,,,,,,,,,,0.000036
fe676e41-1df5-3f0f-9006-ca7e0ab442db,Resource,air,Air,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,-80798.4,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,
362f59ba-5bb1-3a44-aaa1-ce7a3e60d0e2,emission,air,Aldehydes,,kg,,,,,,,,,,,,,,,,,,,,0.00212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a36d2c5-a47d-3020-9dd2-00b6713b2e0c,emission,air,"Aldehydes, unspecified",,kg,,,,,,,,,,,,,2.0988E-07,,3.7148E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000001,,,,,,,,,,,,,,,
d961f86b-e36b-4ac6-8cd4-b253e496de79,Emission to air,high population density,"Aldehydes, unspecified",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000024,,,,,,,,,,,,,,,,
2b8613fe-c7db-355d-9754-baebbc92512f,emission,water,Aluminum,,kg,,,,,,0.000319,0.00002102,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000038,,,,,,,,,,,,,,,
65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,emission,air,Ammonia,,kg,,,,,,,,,,,,,,,,,,,0.000001,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82752E-07,1.50719E-06,9.51609E-08,1.8424E-07,1.74939E-07,,,,,,,,,,,,,,,,,
2d117fdd-370d-331c-b07c-b0172c4a10ef,emission,water,Ammonia,,kg,,,,,,0.0000532,0.000002779,,,,,,,,,,,,0.000001,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35886E-06,6.46749E-06,4.08344E-07,7.9059E-07,7.50677E-07,,0.00000001,,,,,,,,,,,,,,,
9990b51b-7023-4700-bca0-1a32ef921f74,Emission to air,high population density,Ammonia,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018,,,,,,,,,,,,,,,,
d9134087-d959-37a7-b2b0-6c8a620f4c4d,emission,water,Ammonium,,kg,,,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf3a10a8-cc6a-3bf5-ada3-b2626091ed50,emission,air,Ammonium chloride,,kg,,,,,,,,,,,,,,,,,,,,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb005c47-7b90-41f3-a5ca-f0eb11db354a,Emission to water,unspecified,"Ammonium, ion",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00052,,,,,,,,,,,,,,,,
5aaca76f-ed8b-3dc6-9cb3-597421c567ac,emission,air,Anthracene,,kg,,,,,1.05E-10,,,,,,,,4.6395E-11,,8.2116E-11,,,,,,,,,,1.05E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9de688f4-2302-3557-b50c-0f1d304977f4,emission,air,Antimony,,kg,,,,,0.000000009,,,,,,,,3.9767E-09,,7.0385E-09,,,,,,,,,,0.000000009,,,,,,,,,,,,,,,,,,,,,,4.4584E-10,8.58466E-10,5.42017E-11,1.04939E-10,9.96415E-11,,,,,,,,,,,,,,,,,7.11E-08
dde20124-511b-3e0d-8834-5ddd88e15cba,emission,water,Antimony,,kg,,,,,,0.000000199,1.316E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b16d0b5-4713-3bb8-be5b-905382f0e8a8,emission,air,Arsenic,,kg,,,,,1.5756E-07,,,6.648E-08,,,,,9.0581E-08,5.2609E-08,1.6032E-07,9.5562E-10,,4.166E-08,,,,,,,1.5756E-07,,,,,,,,,,,,,,3.2037E-09,3.2037E-09,3.2037E-09,,,,,,5.6255E-11,1.08319E-10,6.83905E-12,1.3241E-11,1.25725E-11,,,,1.5817E-07,,,,,,,,,,,,,0.000000198
e3bcc418-eca5-39a0-a128-e2716b806624,emission,water,Arsenic(V),,kg,,,,,,0.000000983,4.643E-08,,,,,,,,,,,,,0.00377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c5aef1c-7cf7-30ee-8a87-ba4682327767,emission,air,Barium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1e9b66c-ac46-35e8-bba3-318f6556a90f,emission,water,Barium,,kg,,,,,,0.00436,0.0002846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba97642d-9c4d-3fd0-8374-cd4ea433b9ef,Resource,unspecified,"Baryte, resource correction",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000092,,,,,,,,,,,,,,,,
248c35a7-7964-3f7b-aff8-9f29e983835e,emission,air,Benz[a]anthracene,,kg,,,,,4E-11,,,,,,,,1.7674E-11,,3.1282E-11,,,,,,,,,,4E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565c5d1a-1e0e-35f3-82a0-4845c43d3dcf,emission,air,Benzene,,kg,,,,,0.000047668,,,,0.000015506,,,,2.8721E-07,8.529E-09,5.0834E-07,1.0034E-08,,6.754E-09,,,0.000013975,,,,0.000047668,,,,,,,,,,,,,,3.3639E-08,3.3639E-08,3.3639E-08,1.9607E-07,,,,,2.35342E-07,4.53151E-07,2.8611E-08,5.53935E-08,5.2597E-08,,,,2.5643E-08,,,,,,,,,,,,,0.0000378
67999cea-e58a-3044-95a9-4b45269260fd,emission,water,Benzene,,kg,,,0.000000001,,,0.00000596,2.612E-07,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000001,,,,,,,,,,,,,,
1bb6a502-3ff9-4a79-835c-5588b855f1f5,Emission to air,high population density,Benzene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000002,,,,,,,,,,,,,,,,
6e1d6c76-51e8-3719-92a2-aaabf23f3405,emission,water,"Benzene, pentamethyl-",,kg,,,,,,2.66E-10,3.413E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6187175f-c6b5-313b-9128-f3a0a1ccd2c5,emission,water,"Benzenes, alkylated, unspecified",,kg,,,,,,0.000000175,4.293E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76bd7eb9-a592-319f-9234-9a469de5bd59,emission,air,Benzo[a]pyrene,,kg,,,,,1.9E-11,,,,,,,,8.3953E-12,,1.4859E-11,,,,,,,,,,1.9E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19f72d2-41a0-3218-ba4f-61fa392accd6,emission,air,Benzo[ghi]perylene,,kg,,,,,1.35E-11,,,,,,,,5.9651E-12,,1.0558E-11,,,,,,,,,,1.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24cfa2d1-ba72-371f-9d3f-cc121bc063f1,emission,air,Benzofluoranthene,,kg,,,,,5.5E-11,,,,,,,,2.4302E-11,,4.3013E-11,,,,,,,,,,5.5E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
